x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.503726, 0.122974, 0.914246, 0.00212851, 0.0591361, 0.0295937, 0.0661619, 1000.58, 6284.6
-0.503561, 0.125096, 0.972329, -0.028569, 0.0764023, 0.0631543, 0.10316, 1000.7, 5705.94
-0.510146, 0.114036, 1.03642, -0.0039209, 0.111968, 0.163772, 0.198427, 998.323, 4766.72
-0.433606, 0.135912, 1.03681, -0.050213, 0.0975005, 0.138532, 0.176688, 1003.17, 5256.63
-0.498851, 0.17158, 0.0502332, 0.00189041, -0.0058076, -0.000575785, 0.00613461, 1001.72, 14966.4
-0.498769, 0.176075, 0.0996534, 0.00233681, 0.00751473, -0.00271624, 0.00832526, 999.723, 14127.5
-0.498907, 0.17548, 0.148903, 0.00171594, 0.000393052, -0.00384654, 0.00423023, 1001.24, 13798
-0.498926, 0.175359, 0.198347, 0.00177368, 0.000575383, -0.00555112, 0.00585593, 1000.57, 13255.1
-0.499008, 0.175434, 0.247835, 0.00155887, 0.000502523, -0.00721678, 0.0074003, 1000.82, 12801.2
-0.499082, 0.175352, 0.29746, 0.00155042, 5.9747e-05, -0.00896554, 0.00909881, 1000.65, 12304.7
-0.499174, 0.175427, 0.347228, 0.0012736, -0.000191665, -0.010756, 0.0108328, 1000.67, 11827.2
-0.499269, 0.175414, 0.397149, 0.00121587, -0.00054469, -0.0117631, 0.0118383, 1000.59, 11337.6
-0.499384, 0.175526, 0.447267, 0.00103218, -0.00034417, -0.0137744, 0.0138173, 1000.55, 10849.2
-0.499507, 0.175597, 0.497583, 0.00109209, -0.000620671, -0.0145008, 0.0145551, 1000.46, 10350.8
-0.499656, 0.175757, 0.548147, 0.000880254, -0.000917107, -0.0166759, 0.0167243, 1000.44, 9855.03
-0.499817, 0.175858, 0.598962, 0.00117239, -0.00130465, -0.0188363, 0.0189178, 1000.18, 9334.75
-0.500036, 0.175908, 0.650083, 0.000672509, -0.00177875, -0.0197862, 0.0198774, 1000.46, 8872.12
-0.500245, 0.175905, 0.701463, 0.000319723, -0.00162326, -0.0220265, 0.0220885, 1000.04, 8329.65
-0.500587, 0.175547, 0.753236, -0.00141955, 0.0018276, -0.0234616, 0.0235754, 1000.49, 7868.15
-0.500925, 0.175358, 0.805144, -0.00249271, 0.00662638, -0.0207117, 0.0218883, 999.581, 7268.23
-0.501664, 0.174591, 0.857967, -0.0115459, 0.0261451, -0.00149857, 0.0286203, 1000.9, 6942.15
-0.502632, 0.175031, 0.9115, -0.00188095, 0.0446027, 0.0109466, 0.0459649, 1000.03, 6289.93
-0.504365, 0.17734, 0.964389, -0.00875627, 0.0615317, 0.0693264, 0.0931073, 1001.05, 5889.61
-0.510897, 0.154003, 1.02718, 0.0126688, 0.0928152, 0.166076, 0.190673, 997.406, 4837.34
-0.442756, 0.176385, 1.03467, -0.0694603, 0.118374, 0.148099, 0.201917, 997.763, 4830.25
-0.499193, 0.221895, 0.0500379, 0.000582583, -0.00529267, -0.000713898, 0.00537228, 1001.15, 14877.1
-0.498731, 0.225887, 0.099383, 0.00193649, 0.0059214, -0.00168481, 0.00645381, 999.814, 14133.4
