Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0.043,5.10956e-07,-0.017367,2.49998,1,-0.000420418,1.43874e-05,0.0001424,4.85228e-05,-0.802253,-0.000629969,0,0,-3.68769,-2.02892e-11,4.9231e-08,0
0.0435,5.34156e-07,-0.0177701,2.49998,1,-0.000395352,1.4697e-05,0.000123715,4.42204e-05,-0.810173,-0.000643789,0,0,-3.68769,-1.80757e-11,4.9231e-08,0
0.044,5.55118e-07,-0.0181772,2.49998,1,-0.000367316,1.50012e-05,0.00010327,3.95736e-05,-0.818032,-0.000658203,0,0,-3.68769,-1.56449e-11,4.9231e-08,0
0.0445,5.73677e-07,-0.0185881,2.49998,1,-0.000336309,1.52991e-05,8.11426e-05,3.46112e-05,-0.825831,-0.000673193,0,0,-3.68769,-1.30038e-11,4.9231e-08,0
0.045,5.89682e-07,-0.019003,2.49998,1,-0.000302329,1.55897e-05,5.74242e-05,2.93647e-05,-0.833569,-0.000688741,0,0,-3.68769,-1.01618e-11,4.9231e-08,0
0.0455,6.03e-07,-0.0194217,2.49998,1,-0.000265373,1.5872e-05,3.22322e-05,2.38702e-05,-0.841247,-0.000704827,0,0,-3.68769,-7.13037e-12,4.9231e-08,0
0.046,6.13519e-07,-0.0198442,2.49998,1,-0.000225397,1.61428e-05,5.85093e-06,1.81882e-05,-0.848864,-0.000721454,0,0,-3.68769,-3.93687e-12,4.9231e-08,0
0.0465,6.21177e-07,-0.0202705,2.49998,1,-0.000182243,1.63938e-05,-2.10052e-05,1.24146e-05,-0.856422,-0.000738624,0,0,-3.68769,-6.49366e-13,4.9231e-08,0
0.047,6.25951e-07,-0.0207006,2.49998,1,-0.000135726,1.66099e-05,-4.73227e-05,6.74506e-06,-0.863916,-0.000756314,0,0,-3.68769,2.63575e-12,4.9231e-08,0
0.0475,6.28006e-07,-0.0211344,2.49998,1,-8.62279e-05,1.67714e-05,-7.15059e-05,1.57639e-06,-0.871348,-0.000774492,0,0,-3.68769,5.755e-12,4.9231e-08,0
0.048,6.27651e-07,-0.021572,2.49998,1,-3.42379e-05,1.6871e-05,-9.25733e-05,-2.864e-06,-0.878719,-0.000792971,0,0,-3.68769,8.60435e-12,4.9231e-08,0
0.0485,6.253e-07,-0.0220132,2.49998,1,1.93576e-05,1.68991e-05,-0.000109408,-6.39396e-06,-0.886047,-0.000811636,0,0,-3.68769,1.10613e-11,4.9231e-08,0
0.049,6.2142e-07,-0.022458,2.49998,1,7.16098e-05,1.68563e-05,-0.000121268,-8.94881e-06,-0.893298,-0.000829832,0,0,-3.68769,1.30079e-11,4.9231e-08,0
